Tiempo_ms,Periodo_ms,Frecuencia_Hz
30774,1.024,976.562
31074,1.024,976.562
31374,551.044,1.815
31674,551.044,1.815
31974,551.044,1.815
32274,551.044,1.815
32573,551.044,1.815
32873,551.044,1.815













