Tiempo_ms,Periodo_ms,Frecuencia_Hz
2539070,0.000,0.000
2539370,0.000,0.000
2539670,0.000,0.000
2539970,0.000,0.000
2540273,62.172,16.084
2540573,62.172,16.084
2540873,62.172,16.084
2541173,62.172,16.084
2541473,62.172,16.084
2541773,37.456,26.698
2542073,37.456,26.698
2542373,37.456,26.698
2542673,33.380,29.958
2542973,33.380,29.958
2543273,33.380,29.958
2543574,33.380,29.958
2543874,31.976,31.273
2544174,31.976,31.273
2544474,31.976,31.273
2544774,31.804,31.443
2545074,31.804,31.443
2545374,31.804,31.443
2545674,30.592,32.688
2545974,30.592,32.688
2546274,30.592,32.688
2546574,30.592,32.688
2546874,29.488,33.912
2547174,29.488,33.912
2547474,29.488,33.912
2547773,28.696,34.848
2548073,28.696,34.848
2548373,28.696,34.848
2548673,28.040,35.663
2548973,28.040,35.663
2549273,847.068,1.181
2549573,27.588,36.248
2549873,27.588,36.248
2550173,26.856,37.236
2550473,26.856,37.236
2550773,26.856,37.236
2551073,26.476,37.770
2551373,26.476,37.770
2551673,26.476,37.770
2551973,27.704,36.096
2552273,27.704,36.096
2552573,27.704,36.096
2552873,29.048,34.426
2553174,29.048,34.426
2553474,29.048,34.426
2553774,29.048,34.426
2554074,39.976,25.015
2554374,39.976,25.015
2554674,39.976,25.015
2554974,39.976,25.015
