Tiempo_ms,Periodo_ms,Frecuencia_Hz
711174,57.672,17.339
711474,57.672,17.339
711774,57.672,17.339
712074,57.672,17.339
712374,57.672,17.339
712674,57.672,17.339
712974,49.092,20.370
713274,49.092,20.370
713574,49.092,20.370
713874,49.092,20.370
714173,49.092,20.370
714473,48.004,20.832
714773,48.004,20.832
715073,48.004,20.832
715373,48.004,20.832
715673,48.004,20.832
715973,47.268,21.156
716273,47.268,21.156
716573,47.268,21.156
716873,47.268,21.156
717173,47.268,21.156
717473,45.936,21.769
717773,45.936,21.769
718073,45.936,21.769
718373,45.936,21.769
718673,45.936,21.769
718973,44.528,22.458
719273,44.528,22.458
719574,44.528,22.458
719874,44.528,22.458
720175,1372.684,0.728
720474,44.920,22.262
720774,44.920,22.262
721074,44.920,22.262
721374,44.920,22.262
721674,45.360,22.046
721974,45.360,22.046
722274,45.360,22.046
722574,45.360,22.046
722874,45.360,22.046
723174,45.700,21.882
723474,45.700,21.882
723773,45.700,21.882
724073,45.700,21.882
724373,45.700,21.882
724673,46.080,21.701
724973,46.080,21.701
725273,46.080,21.701
725573,46.080,21.701
725873,46.080,21.701
726173,46.448,21.529
726473,46.448,21.529
726773,46.448,21.529
727073,46.448,21.529
727373,46.448,21.529
727673,46.800,21.368
727973,46.800,21.368
728273,46.800,21.368
728573,46.800,21.368
728873,46.800,21.368
729174,48.348,20.683
729474,48.348,20.683
729774,48.348,20.683
