Tiempo_ms,Periodo_ms,Frecuencia_Hz
1481576,6567.484,0.152
1481874,119.976,8.335
1482173,119.976,8.335
1482473,119.976,8.335
1482773,119.976,8.335
1483073,119.976,8.335
1483373,119.976,8.335
1483670,0.000,0.000
1483973,40.336,24.792
1484273,40.336,24.792
1484573,40.336,24.792
1484873,40.336,24.792
1485173,40.336,24.792
1485475,1488.204,0.672
1485773,32.800,30.488
1486073,32.800,30.488
1486373,32.800,30.488
1486673,32.800,30.488
1486973,28.708,34.833
1487273,28.708,34.833
1487574,28.708,34.833
1487874,28.708,34.833
1488174,27.252,36.695
1488474,27.252,36.695
1488774,27.252,36.695
1489074,26.788,37.330
1489374,26.788,37.330
1489674,26.788,37.330
1489974,26.788,37.330
1490274,26.888,37.191
1490574,26.888,37.191
1491175,1061.424,0.942
1491474,26.312,38.005
1491773,26.312,38.005
1492073,26.312,38.005
1492373,25.588,39.081
1492673,25.588,39.081
1492973,25.588,39.081
1493273,25.648,38.989
1493573,25.648,38.989
1493873,25.648,38.989
1494173,25.648,38.989
1494473,25.772,38.802
1494773,25.772,38.802
1495073,25.772,38.802
1495373,25.904,38.604
1495673,25.904,38.604
1495973,25.904,38.604
1496273,25.904,38.604
1496573,26.036,38.408
1496873,26.036,38.408
1497174,26.036,38.408
1497476,1033.768,0.967
1497774,26.236,38.116
1498074,26.236,38.116
1498374,26.236,38.116
1498674,26.504,37.730
1498974,26.504,37.730
1499274,26.504,37.730
1499574,26.504,37.730
1499874,26.604,37.588
1500174,26.604,37.588
1500474,26.604,37.588
1500774,26.796,37.319
1501074,26.796,37.319
1501373,26.796,37.319
1501673,26.796,37.319
1501973,27.292,36.641
1502273,27.292,36.641
1502573,27.292,36.641
1502873,27.292,36.641
1503173,27.848,35.909
1503473,27.848,35.909
1503773,27.848,35.909
1504073,27.196,36.770
1504373,27.196,36.770
1504673,27.196,36.770
1504973,27.196,36.770
1505273,26.776,37.347
1505573,26.776,37.347
1505873,26.776,37.347
1506173,26.776,37.347
1506473,26.384,37.902
1506774,26.384,37.902
1507074,26.384,37.902
1507374,26.384,37.902
1507674,26.568,37.639
1507974,26.568,37.639
1508274,26.568,37.639
1508574,26.568,37.639
1508874,26.700,37.453
1509174,26.700,37.453
1509474,26.700,37.453
1509774,26.700,37.453
1510074,26.924,37.142
