Tiempo_ms,Periodo_ms,Frecuencia_Hz
1996971,0.000,0.000
1997271,0.000,0.000
1997571,0.000,0.000
1997874,99.544,10.046
1998174,99.544,10.046
1998474,99.544,10.046
1998774,99.544,10.046
1999074,99.544,10.046
1999374,99.544,10.046
1999674,99.544,10.046
1999974,53.528,18.682
2000274,53.528,18.682
2000573,53.528,18.682
2000873,53.528,18.682
2001173,53.528,18.682
2001473,42.972,23.271
2001773,42.972,23.271
2002073,42.972,23.271
2002373,42.972,23.271
2002673,38.244,26.148
2002973,38.244,26.148
2003273,38.244,26.148
2003574,1084.956,0.922
2003873,35.136,28.461
2004173,35.136,28.461
2004473,35.136,28.461
2004773,33.072,30.237
2005073,33.072,30.237
2005373,33.072,30.237
2005673,32.212,31.044
2005974,32.212,31.044
2006274,32.212,31.044
2006574,32.212,31.044
2006874,31.088,32.167
2007174,31.088,32.167
2007474,31.088,32.167
2007774,29.692,33.679
2008074,29.692,33.679
2008374,29.692,33.679
2008674,28.324,35.306
2008974,28.324,35.306
2009274,827.208,1.209
2009574,27.656,36.159
2009874,27.656,36.159
2010173,27.696,36.106
2010473,27.696,36.106
2010773,27.696,36.106
2011073,27.820,35.945
2011373,27.820,35.945
2011673,27.820,35.945
2011973,28.604,34.960
2012273,28.604,34.960
2012573,28.604,34.960
2012873,30.812,32.455
2013173,30.812,32.455
2013473,30.812,32.455
2013773,30.812,32.455
2014073,46.896,21.324
2014373,46.896,21.324
2014673,46.896,21.324
2014973,46.896,21.324
